epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6505,1.02615,0.8808,2.77865,1.22788,0,0.42934,0.31481,0.30642,0.22084,0.43489,0.30314,0.31704,0.18992,1.09122,1.30347,100.923,1.36199,0,0.000365585,0.000365585,0.000365585
2,49.1851,1.12087,0.67454,2.10214,1.22029,0,0.5077,0.3361,0.37079,0.25407,0.5077,0.3361,0.37072,0.22609,1.06834,1.77332,92.6531,1.27877,0,0.00073519,0.00073519,0.00073519
3,74.0787,1.35,0.78502,2.19584,1.39903,0,0.51985,0.38412,0.32595,0.23154,0.51985,0.38412,0.32572,0.19782,1.06785,1.18746,22.0222,1.53556,0,0.00110406,0.00110406,0.00110406
4,98.7188,1.21264,0.70824,1.84455,1.29441,0,0.63326,0.30236,0.03915,0.02499,0.63386,0.30613,0.03968,0.02311,1.14563,0.84064,43.9151,1.49608,0,0.0011077,0.0011077,0.0011077
5,123.248,1.15935,0.6582,1.69074,1.26795,0,0.73811,0.475,0.48404,0.32068,0.73811,0.475,0.48404,0.29424,1.03946,0.67681,3.04667,1.09925,0,0.0011066,0.0011066,0.0011066
6,148.244,1.15473,0.55328,1.58303,1.22014,0,0.95263,0.29726,0.36723,0.22344,0.94858,0.29326,0.36213,0.19721,1.55841,0.73094,8.1274,1.55104,0,0.0011055,0.0011055,0.0011055
7,172.77,1.18062,0.60842,1.53984,1.30543,0,0.81591,0.28365,0.31066,0.21233,0.82049,0.27987,0.30703,0.18622,1.21377,1.20059,2.83756,1.29679,0,0.0011044,0.0011044,0.0011044
8,197.274,1.08677,0.61356,1.45564,1.23109,0,0.95555,0.3528,0.56296,0.42249,0.95555,0.3528,0.56296,0.38569,0.92887,0.6248,1.32336,1.13376,0,0.0011033,0.0011033,0.0011033
9,222.121,1.08961,0.5904,1.43649,1.2061,0,0.56916,0.52,0.51966,0.36722,0.56916,0.52,0.52349,0.33108,1.01689,0.64362,1.50527,1.18624,0,0.0011022,0.0011022,0.0011022
10,246.643,1.08694,0.57112,1.23791,1.17527,0,0.60277,0.64,0.73332,0.54544,0.60277,0.64,0.73332,0.47256,0.90514,0.61237,1.34057,1.11509,0,0.0011011,0.0011011,0.0011011
11,271.392,1.05637,0.53727,1.14768,1.19247,0,0.58045,0.60006,0.54079,0.41927,0.58045,0.60006,0.54307,0.36788,0.889,0.60585,1.44918,1.10026,0,0.0011,0.0011,0.0011
12,295.912,1.01294,0.55066,1.12909,1.16169,0,0.66898,0.62288,0.57122,0.44292,0.66898,0.62288,0.57122,0.37472,0.89893,0.6692,1.19739,1.11962,0,0.0010989,0.0010989,0.0010989
13,320.431,0.9914,0.5716,1.13751,1.15959,0,0.96734,0.32624,0.49517,0.36549,0.96734,0.32624,0.49517,0.30546,0.89949,0.6399,1.11665,1.10326,0,0.0010978,0.0010978,0.0010978
14,344.943,0.99787,0.53948,1.17718,1.16927,0,0.51124,0.49245,0.48825,0.35298,0.51124,0.49245,0.48825,0.30474,1.02887,0.77756,1.78054,1.22788,0,0.0010967,0.0010967,0.0010967
15,369.576,0.99513,0.60486,1.18284,1.15285,0,0.756,0.5,0.67192,0.54499,0.756,0.5,0.67192,0.49615,0.79065,0.67894,1.18547,1.05379,0,0.0010956,0.0010956,0.0010956
16,394.308,1.00802,0.57351,1.12952,1.17844,0,0.67736,0.62,0.5869,0.42809,0.67736,0.62,0.5869,0.36856,0.91502,0.60496,1.09386,1.11206,0,0.0010945,0.0010945,0.0010945
17,418.853,0.95327,0.61565,1.03281,1.09834,0,0.6221,0.74,0.76387,0.58175,0.6221,0.74,0.75968,0.51759,0.86151,0.66401,1.11611,1.0926,0,0.0010934,0.0010934,0.0010934
18,443.594,0.96716,0.58593,1.02317,1.16468,0,0.57776,0.74,0.61467,0.46802,0.57776,0.74,0.61467,0.40679,0.99213,0.70999,1.07414,1.16309,0,0.0010923,0.0010923,0.0010923
19,468.129,0.92372,0.52829,0.95135,1.1013,0,0.80546,0.60576,0.67026,0.48161,0.80546,0.60576,0.67026,0.41906,0.96393,0.71071,1.85346,1.1642,0,0.0010912,0.0010912,0.0010912
20,492.747,0.89545,0.5559,0.95919,1.08951,0,0.5098,0.83048,0.72892,0.5527,0.5098,0.83048,0.72892,0.48191,0.81596,0.61226,1.18309,1.12583,0,0.0010901,0.0010901,0.0010901
21,517.25,0.89771,0.49698,0.91361,1.08326,0,0.86734,0.69252,0.81199,0.6146,0.86734,0.69252,0.81199,0.56447,0.87565,0.67478,1.0587,1.06718,0,0.001089,0.001089,0.001089
22,541.965,0.94271,0.50266,0.96568,1.12642,0,0.91568,0.70116,0.79102,0.6411,0.91568,0.70116,0.79102,0.57999,0.8011,0.70615,0.85834,1.03564,0,0.0010879,0.0010879,0.0010879
23,566.689,0.85324,0.50511,0.8909,1.06661,0,0.64114,0.83745,0.79076,0.59959,0.64114,0.83745,0.79076,0.5328,0.80732,0.59162,0.83228,1.06394,0,0.0010868,0.0010868,0.0010868
